provider_type,state,total_patients,medical_payment
General Surgery,IN,100,65337.04
Certified Registered Nurse Anesthetist (CRNA),SC,155,15218.27
Optometry,MI,51,4511.27
Pediatric Medicine,IL,25,3181.97
Internal Medicine,CT,68,6799.18
Anesthesiology,FL,160,25010.23
Physical Therapist in Private Practice,CA,92,24397.48
Optometry,CA,539,120902.97
Nurse Practitioner,IL,61,7628.68
Physical Therapist in Private Practice,CA,106,52142.06
Nurse Practitioner,CA,11,1609.47
Certified Registered Nurse Anesthetist (CRNA),MA,280,14423.22
Optometry,OH,212,21679.39
Nurse Practitioner,FL,30,3751.76
Nurse Practitioner,TX,15,
Physician Assistant,MA,122,
Physician Assistant,CT,172,
Physical Therapist in Private Practice,GA,61,81374.87
Physician Assistant,NY,13,1350.67
Physician Assistant,CO,178,16553.91
Physician Assistant,WA,392,43971.11
Nurse Practitioner,TX,13,2123.13
Hospitalist,NC,136,28473.52
Nurse Practitioner,KS,1073,161287.37
Anesthesiology,PA,136,14931.43
Physical Therapist in Private Practice,CO,122,75553.09
Allergy/ Immunology,NJ,185,39379.38
General Surgery,FL,192,83941.68
Physician Assistant,MA,357,52571.01
Internal Medicine,PA,268,36059.63
Hospitalist,TX,345,71875.88
Nurse Practitioner,VA,60,
Nurse Practitioner,OH,17,2698.85
Physician Assistant,IN,52,
Chiropractic,OH,92,15733.21
Critical Care (Intensivists),NY,25,3048.18
Gastroenterology,ME,328,
Gynecological Oncology,CA,82,24281.5
Anesthesiology,MI,286,31370.39
Audiologist,NY,42,1576.87
Anesthesiology,NH,285,31893.7
Optometry,FL,341,49256.35
Nurse Practitioner,KS,245,360982.55
Internal Medicine,NE,17,2321.55
General Surgery,TN,40,17963.39
Neurology,OH,111,11871.34
Dermatology,MD,23,4361.09
Nurse Practitioner,IL,70,
Physician Assistant,PA,153,8927.9
Physician Assistant,KS,27,2528.43
Family Practice,AZ,134,
Physical Therapist in Private Practice,IL,73,30240.73
Orthopedic Surgery,MO,421,233818.61
Nurse Practitioner,CA,13,8643.74
Nurse Practitioner,TX,261,33947.46
Hematology-Oncology,MI,55,67406.97
Physician Assistant,NH,375,52194.57
Physical Therapist in Private Practice,OR,33,25255.6
Nurse Practitioner,OH,118,
Cardiology,GA,848,74672.19
Pulmonary Disease,MA,115,61000.54
Physician Assistant,OK,308,41122.93
Physical Therapist in Private Practice,CO,19,23853.17
Licensed Clinical Social Worker,PA,46,4794.33
General Surgery,WI,145,60117.28
"Psychologist, Clinical",KY,18,6324.34
Internal Medicine,WA,327,119940.46
Audiologist,MN,121,3946.94
Physician Assistant,CA,27,3212.34
Optometry,VA,299,36141.07
Physician Assistant,TX,286,34667.08
Physician Assistant,NY,65,15712.03
Optometry,TX,163,11701.72
Nurse Practitioner,MS,405,130631.02
Emergency Medicine,MA,826,124357.93
Audiologist,MD,289,13876.57
Physician Assistant,TX,49,6423.65
Obstetrics & Gynecology,OH,187,
Nurse Practitioner,AZ,41,
Physician Assistant,MA,213,29113.77
Cardiology,FL,1070,773974.08
Nurse Practitioner,NY,105,11483.65
Certified Registered Nurse Anesthetist (CRNA),MS,20,3674.99
Nurse Practitioner,CA,193,32853.96
Ophthalmology,VA,563,219581.82
Certified Registered Nurse Anesthetist (CRNA),CO,219,28614.22
Pain Management,MA,365,76918.02
Nurse Practitioner,NC,63,5786.3
Colorectal Surgery (Proctology),IN,471,215219.09
Anesthesiology,CO,88,12563.03
Physician Assistant,WI,48,3953.72
Nurse Practitioner,NC,60,4418.37
Nurse Practitioner,LA,31,
Anesthesiology,FL,104,9210.17
Nurse Practitioner,KS,361,35989.9
Physician Assistant,GA,97,10879.95
Family Practice,KS,327,101083.13
Nurse Practitioner,TX,72,
Gastroenterology,NY,101,17984.68
Licensed Clinical Social Worker,NC,93,53335.38
Licensed Clinical Social Worker,IA,25,11401.3
Internal Medicine,NC,103,28229.91
Orthopedic Surgery,GA,595,279488.68
General Surgery,MA,198,69656.29
General Surgery,AL,28,6411.89
Emergency Medicine,DC,17,
Nurse Practitioner,MD,113,17938.63
Internal Medicine,FL,50,
Orthopedic Surgery,IL,110,20970.96
Psychiatry,NC,20,4081.87
Physical Therapist in Private Practice,TX,12,12932.28
Internal Medicine,OH,149,45073.99
Certified Registered Nurse Anesthetist (CRNA),FL,66,7049.81
Nurse Practitioner,FL,430,231891.29
Diagnostic Radiology,MN,1328,45370.99
Nurse Practitioner,UT,436,85115.37
Family Practice,CA,41,
Neurology,CA,125,60156
Internal Medicine,PA,136,20187.43
Physical Therapist in Private Practice,ME,30,8812.62
Emergency Medicine,AZ,159,20352.73
Diagnostic Radiology,NJ,439,29478.84
Chiropractic,MD,11,2035.67
Physician Assistant,PA,38,2622.19
Licensed Professional Counselor,MD,29,6577.7
Hospitalist,PA,731,
Certified Registered Nurse Anesthetist (CRNA),PA,44,3506.43
General Surgery,IL,266,98104.31
Diagnostic Radiology,NY,3805,957907.73
Neurology,NC,21,
Nephrology,CA,44,32246.7
Physical Medicine and Rehabilitation,NY,417,35779.06
Anesthesiology,AL,289,32585.47
Nurse Practitioner,CA,52,4103.28
Nurse Practitioner,NY,75,3121.89
Obstetrics & Gynecology,NH,89,9639.03
Certified Registered Nurse Anesthetist (CRNA),DE,138,36565.66
Physician Assistant,RI,380,
Podiatry,NJ,387,
Family Practice,MS,268,
Nephrology,NC,399,118432.24
Interventional Cardiology,VA,1345,
Radiation Oncology,FL,341,205046.1
Licensed Clinical Social Worker,OH,35,4459.39
Nurse Practitioner,KY,133,11022.65
Certified Registered Nurse Anesthetist (CRNA),MS,83,8606.6
Hospitalist,KY,129,31891.84
Nurse Practitioner,TN,63,
Obstetrics & Gynecology,FL,53,7205.41
Otolaryngology,CT,148,80813.22
Diagnostic Radiology,NY,648,38270.18
"Psychologist, Clinical",CA,19,28480.9
Diagnostic Radiology,RI,1348,261836.92
Occupational Therapist in Private Practice,NV,77,22003.36
Pulmonary Disease,SC,409,82142.7
"Psychologist, Clinical",PA,16,2870.99
Internal Medicine,CT,149,
Physician Assistant,MA,77,5646.1
Physical Therapist in Private Practice,IL,35,15112.91
Ophthalmology,LA,90,29199.72
Cardiology,TX,1729,467703.03
Occupational Therapist in Private Practice,IL,39,26139.8
Family Practice,NY,24,2291.45
Chiropractic,WI,94,8257.82
Certified Registered Nurse Anesthetist (CRNA),NH,40,4167.81
Physical Therapist in Private Practice,FL,177,32422.02
Physician Assistant,CT,191,30044.39
Nurse Practitioner,TN,493,74998
Geriatric Medicine,NC,140,36281.57
Vascular Surgery,MO,593,111535.23
Nurse Practitioner,WI,124,9948.74
Diagnostic Radiology,NY,382,99429.28
Physician Assistant,MA,485,
Audiologist,AR,270,6347.08
Neurology,IN,328,
Physician Assistant,KS,82,6915.4
Diagnostic Radiology,CA,45,1965.67
Internal Medicine,NY,1476,223342.03
General Surgery,TN,82,15476.41
Physical Therapist in Private Practice,TN,99,113147.02
Physical Therapist in Private Practice,MA,48,30499.81
Physician Assistant,NY,24,2290.4
Internal Medicine,FL,139,44222.82
Anesthesiology,FL,53,4629.16
Physician Assistant,AZ,174,41205.29
Nurse Practitioner,VA,76,2173.73
Obstetrics & Gynecology,CT,53,6868.97
Physician Assistant,CA,28,3474.8
Orthopedic Surgery,DC,544,183074.85
Certified Registered Nurse Anesthetist (CRNA),PR,103,8632.24
Registered Dietitian or Nutrition Professional,PA,24,3593.71
Family Practice,TN,403,87944.19
Physician Assistant,MD,227,44252.42
Ophthalmology,CO,468,125653.94
Nurse Practitioner,OH,57,8025.94
Rheumatology,NJ,682,341490.16
Emergency Medicine,FL,527,65154.59
Obstetrics & Gynecology,VA,89,31169.72
Anesthesiology,NJ,171,23432.24
Cardiology,WI,73,
Anesthesiology,IL,163,27892.81
Vascular Surgery,KY,335,273703.03
Physician Assistant,NM,47,3837.41
Family Practice,IN,212,34503.9
Registered Dietitian or Nutrition Professional,TX,35,5139.21
Nurse Practitioner,IN,13,
Pulmonary Disease,CA,394,152566.87
Nurse Practitioner,NJ,373,49543.83
Physician Assistant,CA,124,
Nurse Practitioner,NC,34,5071.85
Nurse Practitioner,MN,282,27406.08
Neurology,MD,529,97695.86
Nurse Practitioner,FL,32,10413.47
Cardiology,HI,679,67007.05
Licensed Clinical Social Worker,NC,11,10094.57
Physical Therapist in Private Practice,WA,43,11111.56
General Surgery,UT,54,27209.09
Anesthesiology Assistant,GA,141,10178.01
Certified Registered Nurse Anesthetist (CRNA),SC,159,13236.54
Podiatry,IL,1165,187110.14
Physician Assistant,NC,49,4478.89
Dentist,AZ,56,3723.47
Family Practice,OH,242,50225.07
Internal Medicine,OH,337,29657.39
Diagnostic Radiology,WA,269,
Neurology,OK,499,
Diagnostic Radiology,IN,3380,165299.93
Nurse Practitioner,KY,107,10063.37
Nurse Practitioner,VA,54,676692.68
Nurse Practitioner,GA,17,7644.21
Certified Registered Nurse Anesthetist (CRNA),CA,86,12352.94
Physical Therapist in Private Practice,CO,39,24783.42
General Surgery,DC,103,63201.56
Internal Medicine,VT,21,4595.27
Chiropractic,NJ,20,5328.69
Physical Medicine and Rehabilitation,OR,815,155618.21
Family Practice,DE,316,51686.13
Obstetrics & Gynecology,MS,42,3354.97
Orthopedic Surgery,FL,153,50800.76
Nurse Practitioner,GA,650,77027.36
Nurse Practitioner,WI,79,17273.81
Dermatology,CA,1440,944643.13
Nurse Practitioner,TX,34,12582.47
Chiropractic,MI,15,3600.09
Cardiology,NY,188,44459.16
Internal Medicine,GA,117,12182.28
Anesthesiology,TN,88,17622.33
Gastroenterology,TX,192,31329.24
Optometry,MI,37,4675.15
Interventional Radiology,CA,66,2824.84
Hospitalist,NJ,436,114020.25
Certified Registered Nurse Anesthetist (CRNA),FL,87,27762.03
Nurse Practitioner,PA,52,8400.79
Nurse Practitioner,TX,20,692.51
Nurse Practitioner,VA,199,16602.09
Physician Assistant,TX,231,20059.22
Orthopedic Surgery,CA,78,11307.04
Physician Assistant,ND,196,14260.86
Pathology,FL,478,93711.61
Neurology,PA,212,28764.7
Internal Medicine,AL,395,196157.98
Hospitalist,CA,232,60676.99
Psychiatry,TX,49,6450.63
Nurse Practitioner,MO,28,3038.21
Nurse Practitioner,MA,72,4507.95
Family Practice,CA,469,173053.39
Nephrology,NV,445,206482.11
Nurse Practitioner,FL,554,51540.17
Family Practice,OR,38,2302.5
Optometry,WI,618,79554.89
Nurse Practitioner,GA,11,2030.08
Internal Medicine,DE,349,118143.87
Physical Therapist in Private Practice,TN,156,45440.46
Nurse Practitioner,MN,210,36995.66
Family Practice,CA,55,
Hospitalist,NY,153,100015.04
Nurse Practitioner,SC,234,34315.01
Physician Assistant,RI,207,20115.36
Orthopedic Surgery,WI,242,56069.35
Internal Medicine,MN,178,33247.44
Certified Registered Nurse Anesthetist (CRNA),MO,58,3834.29
Internal Medicine,AZ,298,38012.66
Occupational Therapist in Private Practice,VA,47,95360.06
Physician Assistant,IN,32,2400.86
Certified Registered Nurse Anesthetist (CRNA),PA,44,2568.73
Diagnostic Radiology,PA,1060,102292.73
Physician Assistant,CA,354,31351.54
Endocrinology,FL,27,7472.22
Pain Management,OK,264,140891.7
Otolaryngology,NE,392,63816.61
Dermatology,IL,198,91066.23
Physician Assistant,FL,488,56389.33
Dermatology,NY,88,
Anesthesiology,NY,288,16295.38
Certified Registered Nurse Anesthetist (CRNA),KS,22,2250.54
Urology,IA,644,148308.03
Certified Registered Nurse Anesthetist (CRNA),MO,126,20062.08
Nurse Practitioner,TX,48,2225.35
Family Practice,MS,133,25295.24
Cardiology,NY,28,5375.73
Speech Language Pathologist,FL,14,9937.43
Physician Assistant,VA,18,1715.27
Infectious Disease,CO,47,13361.54
Neurosurgery,MI,131,63759
Family Practice,CO,98,27159.14
Nurse Practitioner,TX,192,14171.43
Diagnostic Radiology,DC,673,42402.82
Diagnostic Radiology,IL,2590,96253.87
Chiropractic,TX,18,5856.2
Hematology-Oncology,PA,401,71349.37
Internal Medicine,WI,365,98869.42
Cardiology,IN,497,74250.82
Nurse Practitioner,NC,12,952.86
Diagnostic Radiology,NC,1789,86232.01
Licensed Clinical Social Worker,IL,21,23156.7
Internal Medicine,GA,162,
General Surgery,PA,150,31690.69
Nurse Practitioner,WI,51,10553.26
Orthopedic Surgery,OR,207,97066.22
Obstetrics & Gynecology,MO,15,2189.74
Gastroenterology,OH,396,84703.41
Hospitalist,OK,79,20220.66
Physician Assistant,CT,256,
Family Practice,GA,111,
Family Practice,MN,190,26077.78
Emergency Medicine,CO,260,36700.39
Medical Oncology,IN,348,76089.89
Internal Medicine,PA,297,59843.88
Internal Medicine,CA,432,142894.9
Endocrinology,WI,115,18836.26
Physical Therapist in Private Practice,NY,97,88997.39
Pathology,PA,571,78883.07
Physical Therapist in Private Practice,IN,67,17151.06
Nurse Practitioner,TX,72,129001.7
Podiatry,NY,313,
Physician Assistant,CA,129,
Nurse Practitioner,TN,389,17284.09
Physician Assistant,NC,189,58543.52
Nurse Practitioner,MS,74,
Occupational Therapist in Private Practice,FL,188,20653.39
Internal Medicine,MO,53,17200.11
Chiropractic,OK,162,27168.76
Gastroenterology,NY,307,72445.39
Emergency Medicine,PA,910,120385.02
Family Practice,TX,113,21217.68
Critical Care (Intensivists),CA,165,53073.29
Orthopedic Surgery,PA,146,32817.77
General Surgery,OH,86,10586.51
Emergency Medicine,MI,222,34322.92
Emergency Medicine,FL,824,116387.32
Emergency Medicine,FL,258,42844.52
Hospitalist,MI,128,23592.41
Emergency Medicine,MN,257,33428.5
Neurology,NJ,258,37397.33
Physical Therapist in Private Practice,MS,52,21232.74
Nurse Practitioner,TX,208,42686.59
Oral Surgery (Dentist only),NY,167,218469.15
Thoracic Surgery,OH,113,98099.9
Physician Assistant,ID,52,6421.84
Certified Registered Nurse Anesthetist (CRNA),NY,183,21272.57
Ophthalmology,NY,1783,1058864.37
Physician Assistant,WI,155,18520.99
Nurse Practitioner,FL,192,28897.31
Anesthesiology,NJ,239,15055.94
Podiatry,CA,534,125182.98
Physician Assistant,NY,18,4004
Physician Assistant,CA,285,31738.6
Family Practice,CA,120,22556.27
Internal Medicine,FL,311,14807.39
Oral Surgery (Dentist only),VA,46,9609.99
Nurse Practitioner,AZ,138,17922.89
Internal Medicine,PA,227,27237.98
Chiropractic,MN,66,6963.92
Physician Assistant,MI,224,24532.39
Emergency Medicine,CA,16,1830.69
Emergency Medicine,NY,70,8260.07
Pain Management,CA,438,541952.6
Nurse Practitioner,TX,101,12905.99
Allergy/ Immunology,TX,236,
Gastroenterology,CA,472,97953.42
Cardiology,FL,254,27427.47
Pulmonary Disease,AL,329,40186.76
Ophthalmology,IL,191,55641.6
Anesthesiology,CA,20,1887.48
Interventional Cardiology,IN,2546,173168.39
Internal Medicine,MA,120,15711.72
Anesthesiology,TX,255,26687.62
Dermatology,MA,298,
Emergency Medicine,IL,428,49691.18
Internal Medicine,MA,43,3947.01
Podiatry,PA,56,
Optometry,VA,13,1153.32
Optometry,NC,447,79650.12
Internal Medicine,CA,268,78561.09
Certified Registered Nurse Anesthetist (CRNA),OH,71,8676.76
Hospitalist,NY,205,34821.59
Certified Registered Nurse Anesthetist (CRNA),PA,85,6659.76
Nurse Practitioner,AR,69,11350.9
Diagnostic Radiology,NH,1887,103009.36
Emergency Medicine,CA,235,38445.68
Optometry,MD,313,40705.88
Certified Registered Nurse Anesthetist (CRNA),TX,133,19715.11
Nurse Practitioner,FL,264,28872.23
Emergency Medicine,NC,162,18140.48
Internal Medicine,PA,118,18153.57
Anesthesiology,NY,44,10645.49
Physical Therapist in Private Practice,AL,142,32217.22
Physician Assistant,OH,29,4073.58
Anesthesiology,IL,111,35932.74
Physical Therapist in Private Practice,DE,127,24854.57
Podiatry,KY,107,20680.36
Interventional Cardiology,AR,232,
Internal Medicine,NY,287,138376.56
Physical Therapist in Private Practice,ME,46,26140.03
Urology,TX,754,262798.28
Licensed Clinical Social Worker,OH,25,18045.04
Physical Therapist in Private Practice,LA,11,708.25
Physician Assistant,NE,19,1189.38
Neurology,OK,50,21420.08
Physician Assistant,TX,126,8612.61
Obstetrics & Gynecology,NC,194,
Nurse Practitioner,PA,285,37490.84
Psychiatry,MT,42,15420.2
Family Practice,TX,11,
Certified Registered Nurse Anesthetist (CRNA),FL,41,4504.08
Nurse Practitioner,FL,101,10911.13
Emergency Medicine,LA,496,
Family Practice,IL,40,
Nurse Practitioner,CT,92,28626.47
Family Practice,WI,494,77477.32
Chiropractic,FL,52,10468.96
Nurse Practitioner,OH,48,
Physical Therapist in Private Practice,OR,32,28754.23
Obstetrics & Gynecology,TX,40,7060.06
Physical Therapist in Private Practice,PA,77,43582.77
Nurse Practitioner,TX,183,
Orthopedic Surgery,OR,274,81812.76
Pathology,CA,256,226145.29
Interventional Cardiology,FL,426,127155.53
Physician Assistant,UT,141,22196.28
Physical Therapist in Private Practice,KS,44,21601.05
Family Practice,TX,99,14649.73
Internal Medicine,SC,366,87306.72
Physician Assistant,CO,12,3716.22
Family Practice,PA,17,521.84
Physical Therapist in Private Practice,NY,23,27297.2
Nurse Practitioner,KS,117,12002.67
Physician Assistant,WV,52,5167.45
Anesthesiology,MD,410,42281.48
General Surgery,SC,169,84637.98
Urology,NY,62,53242.05
Physician Assistant,GA,162,24963.96
Psychiatry,PA,44,16427.43
Physical Medicine and Rehabilitation,GA,265,102949.53
Hospitalist,IL,223,45179.8
Anesthesiology,AZ,119,26205.87
Nurse Practitioner,VA,136,13374.86
Diagnostic Radiology,NY,158,
Registered Dietitian or Nutrition Professional,MA,35,3821.8
Psychiatry,MI,206,161559.5
Allergy/ Immunology,VA,27,2542.82
Physician Assistant,SC,87,11286.45
Nurse Practitioner,TN,168,12155.95
Obstetrics & Gynecology,SC,27,3142.73
Diagnostic Radiology,AZ,1567,1147422.25
Gastroenterology,LA,24,2952.59
Anesthesiology,CA,124,24755.8
Psychiatry,MA,55,53726.42
Nurse Practitioner,MA,144,
Hematology-Oncology,IL,118,49006.63
Internal Medicine,TX,363,117421.55
Ophthalmology,CA,788,257851.49
Psychiatry,UT,53,21945.14
Neurology,IL,591,
Family Practice,VA,72,16195.43
Cardiology,NY,1438,269058.95
Physical Therapist in Private Practice,PA,24,21237.71
Cardiology,CA,190,149198.25
Ophthalmology,AZ,470,101669.38
Internal Medicine,TX,161,102151.93
Internal Medicine,OH,55,4849.66
"Psychologist, Clinical",PA,15,8740.51
Physician Assistant,CA,326,58434.98
Urology,MN,293,120993.91
Optometry,TX,182,14476.86
Addiction Medicine,TN,12,10942.26
Chiropractic,WI,41,4195.66
Internal Medicine,IL,323,71156.26
Internal Medicine,FL,29,
Pulmonary Disease,CA,52,4217.62
Physician Assistant,CA,43,
Gastroenterology,CA,466,121473.25
Otolaryngology,CA,525,
Orthopedic Surgery,IL,273,118455.64
Certified Registered Nurse Anesthetist (CRNA),FL,78,10577.86
Otolaryngology,AL,40,16238.98
Orthopedic Surgery,PA,193,85898.97
Internal Medicine,MT,259,30887.59
Interventional Radiology,TX,94,5727.36
Diagnostic Radiology,TX,1543,62765.56
Anesthesiology,PA,155,9187.41
Physician Assistant,FL,63,4133.1
Physical Therapist in Private Practice,FL,84,32585.52
Cardiology,VA,1803,22519.8
Allergy/ Immunology,LA,31,
Anesthesiology,GA,373,33650.87
Internal Medicine,PA,489,
Nurse Practitioner,NC,71,
Certified Registered Nurse Anesthetist (CRNA),TX,141,14539.1
Internal Medicine,TX,266,47298.41
Physician Assistant,GA,183,15810.89
Physical Therapist in Private Practice,FL,149,53806.63
Nurse Practitioner,TX,106,4733.36
Nurse Practitioner,SD,56,2716.75
Nurse Practitioner,OK,79,
Nurse Practitioner,KS,484,39874.76
Optometry,MN,72,6563.43
Nurse Practitioner,OH,17,5601.87
Diagnostic Radiology,NC,1045,58003.91
Internal Medicine,MA,222,73580.8
Internal Medicine,CA,16,
Orthopedic Surgery,OH,274,141813.52
Physical Therapist in Private Practice,NY,217,107394.5
Nurse Practitioner,KY,48,8638
Physician Assistant,PA,188,22915.49
Nurse Practitioner,MO,220,8963.69
Family Practice,IL,133,34147.04
Ophthalmology,NY,900,427057.19
Optometry,OH,152,7395.6
Emergency Medicine,IN,302,36783.01
Nurse Practitioner,AL,82,14848.52
Family Practice,DC,58,3328.03
Internal Medicine,PA,513,156027.87
Cardiology,SC,1825,
Hospitalist,MS,433,87699.91
Obstetrics & Gynecology,CA,605,259698.43
Physician Assistant,WI,113,
Physical Therapist in Private Practice,CA,20,10194.56
Chiropractic,MA,80,39798.47
Psychiatry,IA,33,4266.48
Marriage and Family Therapist,FL,35,27797.08
Certified Registered Nurse Anesthetist (CRNA),IN,512,57731.52
Ophthalmology,AR,821,316030.25
Nurse Practitioner,NY,364,
Physician Assistant,ID,15,
Physical Therapist in Private Practice,CO,40,27186.6
Nurse Practitioner,OH,47,4395.07
Chiropractic,FL,51,10341.92
Nurse Practitioner,MI,55,4574.54
